type of therapy,ta_id,sar_action,lval_1,lval_2,lval_3,c_lval_1,c_lval_2,c_lval_3,quantification,commens,description
Going places,going,a_going_to_go_to_a_restaurant,low,medium,high,0,7,14,,,to go to a restaurant
Going places,going,a_going_to_go_for_a_drink,low,medium,high,0,7,14,,,to go for a drink
Going places,going,a_going_to_go_to_the_movies,low,medium,high,0,7,14,,,to go to the movies
Going places,going,a_going_to_go_for_shopping,low,medium,high,0,7,14,,,to go for shopping
Going places,going,a_going_to_go_to_the_beach,low,medium,high,0,7,14,,,to go to the beach
Going places,going,a_going_to_walk_in_the_city_center,low,medium,high,0,7,14,,,to walk in the city center
Going places,going,a_going_to_have_an_ice_cream_outside,low,medium,high,0,7,14,,,to have an ice cream outside
Going places,going,a_going_to_visit_the_dentist,low,medium,high,0,7,14,,,to visit the dentist
Going places,going,a_going_to_travel_on_a_train,low,medium,high,0,7,14,,,to travel on a train
Going places,going,a_going_to_travel_via_the_airport,low,medium,high,0,7,14,,,to travel via the airport
Friends and Family,friends,a_friends_to_surf_social_media,low,medium,high,0,7,14,,,to surf social media
Friends and Family,friends,a_friends_to_talk_to_my_family,low,medium,high,0,7,14,,,to talk to my family
Friends and Family,friends,a_friends_to_talk_to_my_friends,low,medium,high,0,7,14,,,to talk to my friends
Friends and Family,friends,a_friends_to_spend_time_with_the_family,low,medium,high,0,7,14,,,to spend time with the family
Friends and Family,friends,a_friends_to_watch_a_comedy_with_family,low,medium,high,0,7,14,,,to watch a comedy with family
Friends and Family,friends,a_friends_to_watch_Netflix_with_the_family,low,medium,high,0,7,14,,,to watch Netflix with the family
Friends and Family,friends,a_friends_to_watch_a_comedy_with_the_family,low,medium,high,0,7,14,,,to watch a comedy with the family
Friends and Family,friends,a_friends_to_go_outside_with_the_family,low,medium,high,0,7,14,,,to go outside with the family
Friends and Family,friends,a_friends_to_have_a_short_talk_with_a_friend,low,medium,high,0,7,14,,,to have a short talk with a friend
Friends and Family,friends,a_friends_to_visit_a_friend,low,medium,high,0,7,14,,,to visit a friend
Friends and Family,friends,a_friends_to_have_non-work-related_appointments,low,medium,high,0,7,14,,,to have non-work-related appointments
Individual,individual,a_individual_to_look_at_some_old_photos,low,medium,high,0,7,14,,,to look at some old photos
Individual,individual,a_individual_to_wake_up_late,low,medium,high,0,7,14,,,to wake up late
Individual,individual,a_individual_to_listen_to_music_while_idling,low,medium,high,0,7,14,,,to listen to music while idling
Individual,individual,a_individual_to_stay_alone,low,medium,high,0,7,14,,,to stay alone
Individual,individual,a_individual_to_read_a_novel,low,medium,high,0,7,14,,,to read a novel
Individual,individual,a_individual_to_read_a_book_about_psychology,low,medium,high,0,7,14,,,to read a book about psychology
Individual,individual,a_individual_to_read_a_biography_book,low,medium,high,0,7,14,,,to read a biography book
Individual,individual,a_individual_to_read_a_comic_book,low,medium,high,0,7,14,,,to read a comic book
Individual,individual,a_individual_to_read_a_book,low,medium,high,0,7,14,,,to read a book
Individual,individual,a_individual_to_watch_Netflix_alone,low,medium,high,0,7,14,,,to watch Netflix alone
Individual,individual,a_individual_to_meditate,low,medium,high,0,7,14,,,to meditate
user_def,user,a_user_learn_new_things,low,medium,high,0,5,10,,,learn new things
